Trace
Swept SA
A.24.56,N9000B
3416999488.29814,-58.475025177002
3416999488.78014,-58.4920043945313
3416999489.26214,-58.5941390991211
3416999489.74414,-58.8079795837402
3416999490.22614,-59.1607933044434
3416999490.70814,-59.7670669555664
3416999491.19014,-60.5849647521973
3416999491.67214,-61.4555244445801
3416999492.15414,-62.2197952270508
3416999492.63614,-62.7191467285156
3416999493.11814,-62.9082069396973
3416999493.60014,-62.8941459655762
3416999494.08214,-62.7720260620117
3416999494.56414,-62.5806204277432
3416999495.04614,-62.5823516845703
3416999495.52814,-62.4114532470703
3416999496.01014,-62.1048393249512
3416999496.49214,-61.9094848632813
3416999496.97414,-62.0723457336426
3416999497.45614,-62.8422737121582
3416999497.93814,-64.754264831543
3416999498.42014,-67.5561370849609
3416999498.90214,-70.4737396240234
3416999499.38414,-72.7329025268555
3416999499.86614,-73.5594100952148
3416999500.34814,-72.4598007202148
3416999500.83014,-69.9994659423828
3416999501.31214,-66.9901733398438
3416999501.79414,-64.2436828613281
3416999502.27614,-62.5712089538574
3416999502.75814,-62.3250045776367
3416999503.24014,-61.6590532783635
3416999503.72214,-63.8090286254883
3416999504.20414,-64.3038940429688
3416999504.68614,-63.810791015625
3416999505.16814,-62.0678596496582
3416999505.65014,-59.499584197998
3416999506.13214,-56.5616226196289
3416999506.61414,-53.7096481323242
3416999507.09614,-51.3985481262207
3416999507.57814,-49.5981864929199
3416999508.06014,-48.0265579223633
3416999508.54214,-46.6635208129883
3416999509.02414,-45.4889221191406
3416999509.50614,-44.4826889038086
3416999509.98814,-43.6698341369629
3416999510.47014,-43.0600700378418
3416999510.95214,-42.620719909668
3416999511.43414,-42.3190994262695
3416999511.91614,-42.1228065490723
3416999512.39814,-42.0312064691476
3416999512.88014,-42.5376853942871
3416999513.36214,-42.9256591796875
3416999513.84414,-43.1317253112793
3416999514.32614,-42.9292144775391
3416999514.80814,-42.1991424560547
3416999515.29014,-41.0970802307129
3416999515.77214,-39.8140487670898
3416999516.25414,-38.5410842895508
3416999516.73614,-37.4691047668457
3416999517.21814,-36.5849075317383
3416999517.70014,-35.7668304443359
3416999518.18214,-35.0186462402344
3416999518.66414,-34.3441390991211
3416999519.14614,-33.7472038269043
3416999519.62814,-33.4649925231934
3416999520.11014,-33.480354309082
3416999520.59214,-33.4495697021484
3416999521.07414,-33.0289154052734
3416999521.55614,-31.8746604919434
3416999522.03814,-29.6902465820313
3416999522.52014,-26.7134017944336
3416999523.00214,-23.39404296875
3416999523.48414,-20.1820945739746
3416999523.96614,-17.527437210083
3416999524.44814,-15.4147205352783
3416999524.93014,-13.5491180419922
3416999525.41214,-11.938102722168
3416999525.89414,-10.5891513824463
3416999526.37614,-9.09372026723577
3416999526.85814,-8.44503374012857
3416999527.34014,-8.04146999957447
3416999527.82214,-7.88302904556986
3416999528.30414,-7.88041925430298
3416999528.78614,-7.96971087811471
3416999529.26814,-8.54770278930664
3416999529.75014,-9.21251583099365
3416999530.23214,-10.1423759460449
3416999530.71414,-11.3802490234375
3416999531.19614,-12.9690971374512
3416999531.67814,-15.1070165634155
3416999532.16014,-17.7686195373535
3416999532.64214,-20.655143737793
3416999533.12414,-23.4678173065186
3416999533.60614,-25.9078750610352
3416999534.08814,-28.0217018127441
3416999534.57014,-30.014066696167
3416999535.05214,-31.8046169281006
3416999535.53414,-33.3129730224609
3416999536.01614,-34.4587516784668
3416999536.49814,-35.0446815490723
3416999536.98014,-35.1157035827637
3416999537.46214,-34.9714431762695
3416999537.94414,-34.911563873291
3416999538.42614,-35.2357330322266
3416999538.90814,-36.0798873901367
3416999539.39014,-37.2456550598145
3416999539.87214,-38.5417747497559
3416999540.35414,-39.7770385742188
3416999540.83614,-40.7602272033691
3416999541.31814,-41.4566955566406
3416999541.80014,-41.997386932373
3416999542.28214,-42.4206504821777
3416999542.76414,-42.7647476196289
3416999543.24614,-43.067943572998
3416999543.72814,-43.2298545837402
3416999544.21014,-43.2129020690918
3416999544.69214,-43.1796264648438
3416999545.17414,-43.2927207946777
3416999545.65614,-43.7148971557617
3416999546.13814,-44.4428863525391
3416999546.62014,-45.35986328125
3416999547.10214,-46.4902687072754
3416999547.58414,-47.8587455749512
3416999548.06614,-49.4899406433105
3416999548.54814,-51.3375625610352
3416999549.03014,-53.3772735595703
3416999549.51214,-55.6869163513184
3416999549.99414,-58.3444862365723
3416999550.47614,-61.4279747009277
3416999550.95814,-65.5647048950195
3416999551.44014,-70.7974472045898
3416999551.92214,-76.1193695068359
3416999552.40414,-80.5220184326172
3416999552.88614,-82.9968948364258
3416999553.36814,-82.9392700195313
3416999553.85014,-80.9882125854492
3416999554.33214,-77.9614181518555
3416999554.81414,-74.6761856079102
3416999555.29614,-71.9498138427734
3416999555.77814,-69.7812652587891
3416999556.26014,-67.5579986572266
3416999556.74214,-65.4371643066406
3416999557.22414,-63.578483581543
3416999557.70614,-62.141658782959
3416999558.18814,-61.2159156799316
3416999558.67014,-60.6994171142578
3416999559.15214,-60.4765625
3416999559.63414,-60.4318885803223
3416999560.11614,-60.4499282836914
3416999560.59814,-60.6142768859863
3416999561.08014,-61.0332717895508
3416999561.56214,-61.5399017333984
3416999562.04414,-61.966121673584
3416999562.52614,-62.143871307373
3416999563.00814,-61.9765701293945
3416999563.49014,-61.5702247619629
3416999563.97214,-61.047664642334
3416999564.45414,-60.5315399169922
3416999564.93614,-60.1444969177246
3416999565.41814,-59.8955726623535
3416999565.90014,-59.6906661987305
3416999566.38214,-59.546745300293
3416999566.86414,-59.4679516721648
3416999567.34614,-59.5124893188477
3416999567.82814,-59.6778526306152
3416999568.31014,-59.9747161865234
3416999568.79214,-60.3422393798828
3416999569.27414,-60.7193412780762
3416999569.75614,-61.0449447631836
3416999570.23814,-61.256649017334
3416999570.72014,-61.3841361999512
3416999571.20214,-61.5178642272949
3416999571.68414,-61.7484893798828
3416999572.16614,-62.1666717529297
3416999572.64814,-62.9555587768555
3416999573.13014,-64.1025238037109
3416999573.61214,-65.3139877319336
3416999574.09414,-66.2948989868164
3416999574.57614,-66.7501983642578
3416999575.05814,-66.4975814819336
3416999575.54014,-65.7169876098633
3416999576.02214,-64.6317367553711
3416999576.50414,-63.4646492004395
3416999576.98614,-62.438533782959
3416999577.46814,-61.5535278320313
3416999577.95014,-60.6219024658203
3416999578.43214,-59.7241325378418
3416999578.91414,-58.9433212280273
3416999579.39614,-58.3625793457031
3416999579.87814,-58.0364189147949
3416999580.36014,-57.9156684875488
3416999580.84214,-57.9333152770996
3416999581.32414,-58.0224609375
3416999581.80614,-58.1162185668945
3416999582.28814,-58.1941108703613
3416999582.77014,-58.305477142334
3416999583.25214,-58.4608497619629
3416999583.73414,-58.670166015625
3416999584.21614,-58.9433746337891
3416999584.69814,-59.2574005126953
3416999585.18014,-59.5932083129883
3416999585.66214,-59.9976043701172
3416999586.14414,-60.5180702209473
3416999586.62614,-61.2020797729492
3416999587.10814,-62.1215438842773
3416999587.59014,-63.2677192687988
3416999588.07214,-64.527702331543
3416999588.55414,-65.7877044677734
3416999589.03614,-66.9339370727539
3416999589.51814,-68.0711975097656
3416999590.00014,-69.3540725708008
3416999590.48214,-70.5326843261719
3416999590.96414,-71.3520660400391
3416999591.44614,-71.5572891235352
3416999591.92814,-70.848030090332
3416999592.41014,-69.3045196533203
3416999592.89214,-67.3729019165039
3416999593.37414,-65.5024642944336
3416999593.85614,-64.1424713134766
3416999594.33814,-63.4341621398926
3416999594.82014,-63.0335273742676
3416999595.30214,-62.897819519043
3416999595.78414,-62.9906005859375
3416999596.26614,-63.2754211425781
3416999596.74814,-63.8549156188965
3416999597.23014,-64.8213424682617
3416999597.71214,-65.9569931030273
3416999598.19414,-67.039665222168
3416999598.67614,-67.84716796875
3416999599.15814,-68.3352890014648
3416999599.64014,-68.6924514770508
3416999600.12214,-68.8826217651367
3416999600.60414,-68.8650665283203
3416999601.08614,-68.5990600585938
3416999601.56814,-67.9513320922852
3416999602.05014,-66.8803558349609
3416999602.53214,-65.6254272460938
3416999603.01414,-64.4299774169922
3416999603.49614,-63.5374298095703
3416999603.97814,-63.0369338989258
3416999604.46014,-62.742748260498
3416999604.94214,-62.6223297119141
3416999605.42414,-62.6474380493164
3416999605.90614,-62.7898216247559
3416999606.38814,-63.0663719177246
3416999606.87014,-63.5168342590332
3416999607.35214,-64.0898895263672
3416999607.83414,-64.7323913574219
3416999608.31614,-65.3911895751953
3416999608.79814,-65.9719390869141
3416999609.28014,-66.4644775390625
3416999609.76214,-67.0260314941406
3416999610.24414,-67.8165130615234
3416999610.72614,-68.9958419799805
3416999611.20814,-70.8785858154297
3416999611.69014,-73.5219955444336
3416999612.17214,-76.388298034668
3416999612.65414,-78.9293899536133
3416999613.13614,-80.5971527099609
3416999613.61814,-80.9306411743164
3416999614.10014,-80.1716232299805
3416999614.58214,-78.8964385986328
3416999615.06414,-77.6832885742188
3416999615.54614,-77.0787707061959
3416999616.02814,-77.5851058959961
3416999616.51014,-78.7945251464844
3416999616.99214,-80.2991714477539
3416999617.47414,-81.6624755859375
3416999617.95614,-82.4478988647461
3416999618.43814,-82.4033889770508
3416999618.92014,-81.8089981079102
3416999619.40214,-80.8754272460938
3416999619.88414,-79.8072052001953
3416999620.36614,-78.8088684082031
3416999620.84814,-77.927734375
3416999621.33014,-76.9737167358398
3416999621.81214,-76.0011138916016
3416999622.29414,-75.0724182128906
3416999622.77614,-74.250114440918
3416999623.25814,-73.5366897583008
3416999623.74014,-72.8630752563477
3416999624.22214,-72.2727584838867
3416999624.70414,-71.8128433227539
3416999625.18614,-71.5304107666016
3416999625.66814,-71.4435259798434
3416999626.15014,-71.6866302490234
3416999626.63214,-72.0279541015625
3416999627.11414,-72.4121780395508
3416999627.59614,-72.7393417358398
3416999628.07814,-72.9888763427734
3416999628.56014,-73.2600479125977
3416999629.04214,-73.5147705078125
3416999629.52414,-73.7098541259766
3416999630.00614,-73.8021011352539
3416999630.48814,-73.7458953857422
3416999630.97014,-73.5502471923828
3416999631.45214,-73.2790145874023
3416999631.93414,-72.9970550537109
3416999632.41614,-72.7692489624023
3416999632.89814,-72.6344909667969
3416999633.38014,-72.5512084960938
3416999633.86214,-72.4897537231445
3416999634.34414,-72.4217529296875
3416999634.82614,-72.3188552856445
3416999635.30814,-72.1729354858398
3416999635.79014,-72.0111770629883
3416999636.27214,-71.8261566162109
3416999636.75414,-71.6089019775391
3416999637.23614,-71.350456237793
3416999637.71814,-71.0110168457031
3416999638.20014,-70.5608215332031
3416999638.68214,-70.0821533203125
3416999639.16414,-69.6608428955078
3416999639.64614,-69.3827438354492
3416999640.12814,-69.2252502441406
3416999640.61014,-69.0535278320313
3416999641.09214,-69.0018539428711
3416999641.57414,-69.215217590332
3416999642.05614,-69.8386383056641
3416999642.53814,-71.1562194824219
3416999643.02014,-73.2888946533203
3416999643.50214,-75.7200012207031
3416999643.98414,-77.9125366210938
3416999644.46614,-79.3295059204102
3416999644.94814,-79.5697402954102
3416999645.43014,-78.8992538452148
3416999645.91214,-77.7148056030273
3416999646.39414,-76.4081649780273
3416999646.87614,-75.3710861206055
3416999647.35814,-74.7557678222656
3416999647.84014,-74.2046737670898
3416999648.32214,-73.7649078369141
3416999648.80414,-73.4315053986354
3416999649.28614,-73.5005950927734
3416999649.76814,-73.8122177124023
3416999650.25014,-74.4227905273438
3416999650.73214,-75.2498092651367
3416999651.21414,-76.2096252441406
3416999651.69614,-77.2186126708984
3416999652.17814,-78.3531875610352
3416999652.66014,-79.8260192871094
3416999653.14214,-81.3607711791992
3416999653.62414,-82.6589508056641
3416999654.10614,-83.4220428466797
3416999654.58814,-83.3791198730469
3416999655.07014,-82.6176605224609
3416999655.55214,-81.4634552001953
3416999656.03414,-80.2460632324219
3416999656.51614,-79.2950286865234
3416999656.99814,-78.8071670532227
3416999657.48014,-78.5541305541992
3416999657.96214,-78.430534362793
3416999658.44414,-78.3440780639648
3416999658.92614,-78.2024230957031
3416999659.40814,-77.9693603515625
3416999659.89014,-77.7347717285156
3416999660.37214,-77.4798126220703
3416999660.85414,-77.1783828735352
3416999661.33614,-76.8043746948242
3416999661.81814,-76.3208389282227
3416999662.30014,-75.7167663574219
3416999662.78214,-75.0535430908203
3416999663.26414,-74.3953704833984
3416999663.74614,-73.8064651489258
3416999664.22814,-73.3038711547852
3416999664.71014,-72.8116683959961
3416999665.19214,-72.3661422729492
3416999665.67414,-72.010871887207
3416999666.15614,-71.7894058227539
3416999666.63814,-71.7243657838028
3416999667.12014,-71.8524475097656
3416999667.60214,-72.0796203613281
3416999668.08414,-72.3769302368164
3416999668.56614,-72.6990509033203
3416999669.04814,-73.0344543457031
3416999669.53014,-73.4394378662109
3416999670.01214,-73.8848648071289
3416999670.49414,-74.3357925415039
3416999670.97614,-74.7572631835938
